		7 días										
												
02 cajas por 07 días	CAJ27	2	7	$2.775	$5.000	$18.266	$5.208	$2.604	$33.853	$6.432	$40.286	$40.290
05 cajas por 07 días	CAJ57	5	7	$6.938	$5.000	$18.266	$6.041	$3.020	$39.265	$7.460	$46.726	$46.730
10 cajas por 07 días	CAJ107	10	7	$13.876	$5.000	$18.266	$7.428	$3.714	$48.285	$9.174	$57.459	$57.460
15 cajas por 07 días	CAJ157	15	7	$20.815	$5.000	$18.266	$8.816	$4.408	$57.305	$10.888	$68.192	$68.190
Carro plegable por 07 días	CAR7	Carro plegable	7	$4.165	$0	$0	$833	$417	$5.415	$1.029	$6.443	$6.440
Base Movil por 07 días	BAS7	Base Movil	7	$2.083	$0	$0	$417	$208	$2.707	$514	$3.222	$3.220
Kit 2 Bases moviles por 07 días	2BAS7	Kit 2 Bases moviles	7	$3.124	$0	$0	$625	$312	$4.061	$772	$4.832	$4.830
Correa Ratchet por 07 días	RAT7	Correa Ratchet	7	$1.041	$0	$0	$208	$104	$1.354	$257	$1.611	$1.610
												
		14 días										
												
02 cajas por 14 días	CAJ214	2	14	$5.551	$5.000	$18.266	$5.763	$2.882	$37.461	$7.118	$44.579	$44.580
05 cajas por 14 días	CAJ514	5	14	$13.876	$5.000	$18.266	$7.428	$3.714	$48.285	$9.174	$57.459	$57.460
10 cajas por 14 días	CAJ1014	10	14	$27.753	$5.000	$18.266	$10.204	$5.102	$66.324	$12.602	$78.926	$78.930
15 cajas por 14 días	CAJ1514	15	14	$41.629	$5.000	$18.266	$12.979	$6.490	$84.364	$16.029	$100.393	$100.390
Carro plegable por 14 días	CAR14	Carro plegable	14	$8.330	$0	$0	$1.666	$833	$10.829	$2.058	$12.887	$12.890
Base Movil por 14 días	BAS14	Base Movil	14	$4.165	$0	$0	$833	$417	$5.415	$1.029	$6.443	$6.440
Kit 2 Bases moviles por 14 días	2BAS14	Kit 2 Bases moviles	14	$6.248	$0	$0	$1.250	$625	$8.122	$1.543	$9.665	$9.660
Correa Ratchet por 14 días	RAT14	Correa Ratchet	14	$2.083	$0	$0	$417	$208	$2.707	$514	$3.222	$3.220
												
		30 días										
												
02 cajas por 30 días	CAJ230	2	30	$11.894	$5.000	$18.266	$7.032	$3.516	$45.708	$8.684	$54.392	$54.390
05 cajas por 30 días	CAJ530	5	30	$29.735	$5.000	$18.266	$10.600	$5.300	$68.901	$13.091	$81.992	$81.990
010 cajas por 30 días	CAJ1030	10	30	$59.470	$5.000	$18.266	$16.547	$8.274	$107.557	$20.436	$127.993	$127.990
015 cajas por 30 días	CAJ1530	15	30	$89.205	$5.000	$18.266	$22.494	$11.247	$146.213	$27.780	$173.993	$173.990
Carro plegable por 30 días	CAR30	Carro plegable	30	$17.850	$0	$0	$3.570	$1.785	$23.205	$4.409	$27.614	$27.610
Base Movil por 30 días	BAS30	Base Movil	30	$8.925	$0	$0	$1.785	$893	$11.603	$2.204	$13.807	$13.810
Kit 2 Bases moviles por 30 días	2BAS30	Kit 2 Bases moviles	30	$13.388	$0	$0	$2.678	$1.339	$17.404	$3.307	$20.710	$20.710
Correa Ratchet por 30 días	RAT30	Correa Ratchet	30	$4.463	$0	$0	$893	$446	$5.801	$1.102	$6.903	$6.900
Sin productos	sp	Sin productos										$0
